graph6string,levelable,minimized solution
F??Fw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 7.0]"
F??Ng,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F??Nw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
F?CNG,F,NA
F??^G,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F??^o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F??^W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
F??^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
F??}O,F,NA
F??}o,F,NA
F??}W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F??~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
F??}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
F??~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 6.0]"
F?@|o,F,NA
F?@~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
F?@|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
F?@~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
F?B~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
F?B~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 6.0]"
F?CeW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@?Mw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?Cfw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F@?]O,F,NA
F?Cmg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@?]W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F@CeW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?CmW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@?^W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?G]w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?Cnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F@OKg,F,NA
F?DcW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@IAw,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
F@AJo,F,NA
F@@Kw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?Dcw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@PDw,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?_rw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@@Lw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
FG?^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
F?C^G,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?C^W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?C^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F@@ko,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?O|o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F?W\g,F,NA
FG?}o,T,"[2.0, 3.0, 3.0, 2.0, 2.0, 3.0, 4.0]"
F?H[w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?Dkw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@@kw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?W^g,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
F?O|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?Dlw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
FG?}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?Dnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
F?O|_,F,NA
F@?}O,F,NA
F?`ro,F,NA
FGAZo,F,NA
F?O|g,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@?}W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F_?~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
F?`rw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
FGAZw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F_?~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
F?C~O,F,NA
F@C]W,F,NA
F?C~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?C~W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?C}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?C~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
F?`zo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?D~O,F,NA
F_@|o,T,"[4.0, 4.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F?Fno,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
F?`zw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F?D~W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F_@|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F?Fnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
F?D|o,F,NA
F?D~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
F?D|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F?D~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
F?F~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
F?F~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
F?KuW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@CmW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?Kuw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?Kvw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
FICcW,F,NA
F@HSW,F,NA
F?_yo,F,NA
F@O^G,F,NA
FGG[w,F,NA
F@Okw,F,NA
FI?\W,F,NA
F@O[w,F,NA
F?StW,F,NA
FGG]w,F,NA
F?MRw,F,NA
F?LVW,F,NA
F?LVw,F,NA
FIAHo,F,NA
F?StG,F,NA
F@G]G,F,NA
F?oow,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
FIa@w,F,NA
F?org,F,NA
FIAHw,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F?opw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
F?YPw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
Fo?Zw,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?NBw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
F?NFw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
F@H[o,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
F@TTW,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@IZo,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
F?Tto,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
F@H[w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
F@H^o,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
F@H]w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
F@H\w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
F@Dmw,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
F@H^w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 5.0]"
Fo?yo,F,NA
F?L^?,F,NA
F?[uG,T,"[2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
F_LLg,F,NA
F?Uro,F,NA
F?]Rg,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
F?svG,F,NA
FADlW,F,NA
FCDjW,F,NA
Fo?yw,F,NA
F?NPw,F,NA
FEG^W,F,NA
FCDnW,F,NA
F@FJw,F,NA
F?drw,F,NA
F?NVW,F,NA
F@FNw,F,NA
F@KuW,T,"[2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 3.0]"
F@G}w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0]"
F?K}w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
F?K~w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
F?L^_,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
FAEhw,F,NA
F?L\g,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
F?L^G,F,NA
F?L[w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
F@D^W,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
F?S|w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
F?L^W,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
F?L^w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
F?NN_,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
F?drW,F,NA
F?LuW,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
