graph6 string,levelable,minimized solution
H?\rbaN,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?@zrqZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?@zrqN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
HBXb?}^,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?@zrqz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
H?@zrq^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
HIP@xy~,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H?@zrq~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?@zrr~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 6.0]"
H?@ztrw,F,NA
H?@|rpx,F,NA
H?@|rqx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
H?Axrty,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0]"
H?Ayrty,F,NA
H?A{rty,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0]"
H?AzrrJ,F,NA
H?@zrqx,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
H?A|rpx,F,NA
H?@ztrX,F,NA
H?@xruy,F,NA
H?@xrvY,F,NA
H?@{tty,F,NA
H?[JnIV,F,NA
H??Zzy{,F,NA
H?@Jzy{,F,NA
H?@L|x{,F,NA
H?@ztrF,F,NA
H?@|rrx,F,NA
H?Azrpz,F,NA
H?Azrqz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0]"
H?BZrqz,F,NA
H?@ztrx,F,NA
H?@ztpz,F,NA
H?A|rpz,F,NA
H?@zuqz,F,NA
H?@zto~,F,NA
H?@zuo~,F,NA
H?A|rp^,F,NA
H?@zvQ^,F,NA
H?Azrrz,F,NA
H?@ztrz,F,NA
H?@ztp~,F,NA
H?Azrq~,F,NA
H?@zuq~,F,NA
H?@ztr~,F,NA
HBXbC}],T,"[3.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
