graph6 string,levelable,minimized solution
F????,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F??C?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F??E?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F??F?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F??F_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F??Fo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
F??Fw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 7.0]"
F?AA?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?AE?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?AB?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?ACG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?AF?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?AB_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?AEG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?AF_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?ABo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F?AFG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?AFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F?AFg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F?AFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
F?BE?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?B@_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?BF?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F?BD_,F,NA
F?B@o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?BEG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?BDG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?B@g,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?BF_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F?BDo,F,NA
F?BFG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?BDg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?B@w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?BFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F?BFg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
F?BDw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
F?BFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
F?Bf?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F?Be_,F,NA
F?Bco,F,NA
F?Bf_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
F?Beo,F,NA
F?BfG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F?Beg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F?Bcw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
F?Bfo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
F?Bfg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
F?Bew,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
F?Bfw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 6.0]"
F?Bv_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
F?BvO,F,NA
F?Bvo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
F?Bvg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
F?BvW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
F?Bvw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
F?B~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
F?B~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 6.0]"
F?`@?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?`E?,F,NA
F?`D?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?`@_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?`CO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?`F?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?`D_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?`EO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?`DO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?`F_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?`FO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?`Do,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?`EW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?`Fo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?`FW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F?`Fw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
F?bAO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?bF?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?bB_,F,NA
F?bEO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?bBO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?bEG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?bDG,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
