graph6string,levelable,minimized solution
H@G_wzB,F,NA
H??xprF,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H@GWpNF,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
H??xprN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H@CPXZN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H??xpr^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H??xpr~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
H?Kpa]M,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H??xrrE,T,"[2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
H?Kpa^M,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?Kpc\],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H@ChQnM,T,"[2.0, 2.0, 2.0, 3.0, 4.0, 2.0, 2.0, 2.0, 5.0]"
H??xtp],F,NA
H??xrrM,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?Kpa]N,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?Kpa^],T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H?Kpc\},T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H??xrr],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?Kpa^N,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?Kpa]^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H@ChQnN,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 5.0]"
H??xrq^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H??xrrN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?Kpa^},T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H?Kpa^^,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H?Kpa]~,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H??xrr^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?Kpa^~,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
H@GgwzB,F,NA
H?CPxzK,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
H??xrNW,F,NA
H?A[rLw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H@GWuNe,F,NA
H@ChUL],F,NA
H@CP]ZM,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
H@GXMfM,F,NA
H??xuo},F,NA
H?@Yto},F,NA
H??xvP],F,NA
H?A[rpm,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0, 3.0, 4.0]"
H??xvbM,F,NA
H@GWrNF,F,NA
H@GWuNF,F,NA
H?Ko]fb,F,NA
H@ChO~F,F,NA
H@CPY^L,F,NA
H@GXI^R,F,NA
H??xo~X,F,NA
H??xo~h,F,NA
H@ChUN],F,NA
H??xup},F,NA
H?A[rp},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H??xvR],F,NA
H@GWuNf,F,NA
H@ChUL^,F,NA
H@GWuNN,F,NA
H@GXMVV,F,NA
H??xuo~,F,NA
H?@Yto~,F,NA
H??xupn,F,NA
H??xurN,F,NA
H??xurf,F,NA
H??xur},F,NA
H@ChUN^,F,NA
H??xup~,F,NA
H?A[rp~,F,NA
H??xurn,F,NA
H??xur~,F,NA
H?CxprF,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H??xxrX,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
H?Kp_~N,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H@?xprN,T,"[2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H??xpv\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H@CPX^N,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
H??xpvN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?Kp_~n,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
H@G_w~^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H??xpv^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H@G_w~~,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
H?Kpe^M,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?Kpa~M,F,NA
H?Kp`~M,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
H?Kpe^],T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
H?Kpe\},F,NA
H??xvr],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 4.0, 2.0, 3.0, 5.0]"
H?Kpe^N,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
H?Kpa~N,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
H?Kp`~N,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
H?Kpe^},T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
H?Kpe^^,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
H?Kpe\~,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
H??xvr^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?Kpe^~,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
H?Kpb]],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
H@G_y~],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
H?Kpa~m,F,NA
H@G_{|},F,NA
H??xrv],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 4.0, 2.0, 3.0, 5.0]"
H@G_y}^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
H?Kpb]^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
H@G_y~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
H@G_y~^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
H?Kpa~n,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
H@G_y}~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
H??xrv^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H@G_y~~,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
H@ChU^U,T,"[2.0, 2.0, 2.0, 4.0, 5.0, 2.0, 2.0, 5.0, 3.0]"
H??xrv[,F,NA
H?A[rt{,F,NA
H??xuzi,F,NA
H@CUX^l,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 5.0, 4.0, 2.0]"
H??xuv{,F,NA
H??xut},F,NA
H??}pv\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0, 2.0]"
H??}pvl,F,NA
H@ChU^V,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0, 3.0]"
H@CPZ^N,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
H@CP]^N,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
H?KHmnf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
H??xrv\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?A[rt|,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H??xuzj,F,NA
H??xp~Z,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
H??xq~Z,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
H?KHi~f,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
H??xuv},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 2.0]"
H@CP]^n,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
H??xuv|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 4.0]"
H??xut~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
H??xuv^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
H??xuvn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
H??xuv~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 6.0]"
H@G`w~\,F,NA
H??xxzZ,F,NA
H??xp~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H@G_x~^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
