graph6string,levelable,minimized solution
H?B~vrw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0]"
H?B~vrx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0]"
H?Bzvvy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 4.0, 2.0]"
H??~~z{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0]"
H?B~vrz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 3.0]"
H?B~vp~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 5.0]"
H?B~vr~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 6.0]"
H?B~vv{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 2.0, 5.0]"
H?B~vv|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 2.0, 5.0]"
H?B~vvz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0]"
H?B~vv~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 2.0, 6.0]"
H?B~v~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 5.0, 2.0]"
H?B~v~~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 6.0, 6.0]"
H?B~~~~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 6.0, 6.0, 6.0]"
HIQpptN,F,NA
HJPCxyl,F,NA
H?kqZlu,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?lJjiV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
H?Qzrqr,F,NA
H?shjlu,F,NA
HGBZroz,F,NA
H?wZjiV,F,NA
H@BZrqj,F,NA
H?\q\er,F,NA
HBXbG}Z,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0]"
HB\bC]V,F,NA
H?[qZmu,F,NA
H?\Jkmt,F,NA
H?\Jlir,F,NA
H?[hjnU,F,NA
HJP@w}l,F,NA
H?[Zknd,F,NA
H@@zsvh,F,NA
H?DJzy{,F,NA
H?Orzy{,F,NA
H?Dzs^h,F,NA
H?HzsnX,F,NA
H?CZzzk,F,NA
H?Crzzk,F,NA
H?Dzs^p,F,NA
HIQpq]z,F,NA
H?lra]v,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?xr_|v,F,NA
H?sjjiv,F,NA
HGBZrqz,F,NA
HBWW~Ff,F,NA
H?\q\ev,F,NA
HIOy\c~,F,NA
H?[ZnIv,F,NA
HJP@|Y^,F,NA
H?Pzto~,F,NA
H?Pztq^,F,NA
H?Pztqv,F,NA
H?Hzuo~,F,NA
HG@zuo~,F,NA
H?DzvQ^,F,NA
H@@zvQ^,F,NA
H?xr_~v,F,NA
HIOy\e~,F,NA
H?Pztq~,F,NA
H?Pztp~,F,NA
H?Hzuq~,F,NA
HG@zuq~,F,NA
H?Pztr~,F,NA
