graph6string,levelable,minimized solution
HHOOSIA,F,NA
H?O@XiS,F,NA
HIG?gUD,F,NA
HGD?gU`,F,NA
HGAQOob,F,NA
HGB?p_J,F,NA
HIA@OgJ,F,NA
HIA@OWR,F,NA
HkGO?SF,F,NA
HK_a?gJ,F,NA
HWDC?gJ,F,NA
H@S?HME,F,NA
H@O@GyE,F,NA
HCO@G[s,F,NA
HIC_OMB,F,NA
HHQ?_SF,F,NA
HAIB?gJ,F,NA
H?S@Gmc,F,NA
H@O?XMS,F,NA
HCW?HKU,F,NA
H@P?oM`,F,NA
HIAG`CJ,F,NA
HGAQ`OJ,F,NA
H?S@HiE,F,NA
H?C@ZIS,F,NA
H?K?iMc,F,NA
HIG?WMP,F,NA
HG?gs`F,F,NA
H?_r?pF,F,NA
Hq??Wgj,F,NA
HK_@_XF,F,NA
H`_?gXb,F,NA
HA?hcON,F,NA
HIGGKCV,F,NA
H@OgcDF,F,NA
HG_o_TF,F,NA
HGo__KV,F,NA
HG_i?cV,F,NA
HG_W`DF,F,NA
HqG?GSV,F,NA
HoD?OKr,F,NA
H@Q@OjB,F,NA
HA?XT?N,F,NA
HI?GkOf,F,NA
HAGO]?f,F,NA
HGc__LF,F,NA
H?oq?cf,F,NA
HG_q?SV,F,NA
HI_OOKf,F,NA
H`_@OhF,F,NA
HKQ?OKr,F,NA
HB?HSGN,F,NA
HAChCCN,F,NA
HK?HOgN,F,NA
HI?WSCf,F,NA
H?pP?cf,F,NA
H?GqS_N,F,NA
HG@PS_N,F,NA
HI?Gl?N,F,NA
HG?gu?V,F,NA
HI?gcCN,F,NA
Hk?@OgN,F,NA
H@?YT?N,F,NA
H@GQSGN,F,NA
H?GZC_N,F,NA
H_@POqf,F,NA
H@OJCG^,F,NA
HC@HQ_n,F,NA
Hq?G_Kn,F,NA
HK?q?UN,F,NA
HQ?WPFF,F,NA
H@@HU?^,F,NA
HC?YR?n,F,NA
Ho?WPDV,F,NA
HK?i?eN,F,NA
H`_OOLf,F,NA
HGCPSG^,F,NA
HB?ISGn,F,NA
H@P@SG^,F,NA
HK?GqGn,F,NA
HE?IPGn,F,NA
HCD@IOn,F,NA
Ho?g_TV,F,NA
H?OZD?^,F,NA
H?HacO^,F,NA
H_@SPOv,F,NA
Ho?i?c^,F,NA
H?KcI_^,F,NA
H@?icPN,F,NA
H@OgcDN,F,NA
H@@HS`N,F,NA
H?CqT?^,F,NA
H?Oid?^,F,NA
H_S__Mn,F,NA
H_L?_Mn,F,NA
HGCQSG~,F,NA
HOCPQH^,F,NA
HoC_OL^,F,NA
H_O_oin,F,NA
HKGOONN,F,NA
H?gq?fN,F,NA
H?Oic_~,F,NA
H?SqCC~,F,NA
H_U@?K~,F,NA
H_Q@Og~,F,NA
H?DPU?~,F,NA
H?DRCO~,F,NA
H?YP?fN,F,NA
H@GQSG~,F,NA
HGCSQI~,F,NA
H?QHc`~,F,NA
H?CsU@~,F,NA
H@GQSH~,F,NA
H@GQSJ~,F,NA
HHO?gYB,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H@P?pIB,F,NA
HG?qOqF,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HI?X?UF,F,NA
HHOOOMF,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H@OXAEF,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?HHaaN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H@@GrAN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HB?HQIN,F,NA
H@P?pIN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?CqRA^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?HHaa^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HGCPQI^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H@CaQI~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H@CaQJ~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H?OXrAD,F,NA
H?HGzAP,F,NA
H?S_hVD,F,NA
HG?qSYR,F,NA
Hc?GhTd,F,NA
H?M_aNI,F,NA
H?KaGyR,F,NA
HGL?GmJ,F,NA
HGGQGuL,F,NA
H?HIcou,F,NA
HACM@Kl,F,NA
H@GSQLL,F,NA
H?LQCSu,F,NA
HS?gaTF,F,NA
H_h?oKt,F,NA
H_Q@Ok{,F,NA
H?L?hNH,F,NA
HGC_WnH,F,NA
H?CieGy,F,NA
H?DRCS{,F,NA
HO?XUHR,F,NA
H?YX?fB,F,NA
H?Cr?yJ,F,NA
H?Ka_yF,F,NA
H@GQSK{,F,NA
H?SpAMJ,F,NA
H?KTALL,F,NA
H?Co[Tb,F,NA
H@?W[Tb,F,NA
H@GOYUF,F,NA
H?KQLFL,F,NA
H?PPSc|,F,NA
H?TCHc|,F,NA
HGL?KUV,F,NA
HGH?kU\,F,NA
H?O{S`r,F,NA
H?CidD\,F,NA
H?DSRC|,F,NA
H?S_lRF,F,NA
HOGO]HZ,F,NA
H?CkeHy,F,NA
H@GSQK|,F,NA
H?DRCS|,F,NA
H?SqCKz,F,NA
H@GQSL{,F,NA
H?DU@S|,F,NA
H?TC`K|,F,NA
H?L_cNJ,F,NA
H?KQLDN,F,NA
H?KRCLN,F,NA
HC?]@Tf,F,NA
HO_HaLV,F,NA
H?KcIc^,F,NA
HACJCKn,F,NA
H@GQKTN,F,NA
HACHMCn,F,NA
H?CqTC^,F,NA
H?GYdDN,F,NA
H?aQPd|,F,NA
H?DKbE|,F,NA
H@GQSL|,F,NA
H@GSQL|,F,NA
H?EU@T|,F,NA
H?dS@Lz,F,NA
H@GQSN{,F,NA
H?CrCVN,F,NA
H?T@Kc~,F,NA
H?T@cK~,F,NA
HA?ZCUn,F,NA
H@GQSNN,F,NA
H?DPUC~,F,NA
H?DRCS~,F,NA
H?GZCfN,F,NA
H@GQSK~,F,NA
H@GSQN|,F,NA
H@?icV^,F,NA
H?GZCf^,F,NA
H@GQKT~,F,NA
H@GQSN~,F,NA
H?CybAJ,F,NA
H?PXPaR,F,NA
HGCPiQL,F,NA
HGCXaQF,F,NA
H?CibIY,F,NA
H?LXAER,F,NA
HGOH_mF,F,NA
H?DR@qN,F,NA
H?PPPe\,F,NA
HG?i_u\,F,NA
HGCq?uN,F,NA
H@KaIaN,F,NA
H?CibE\,F,NA
H?Oi`e\,F,NA
HGCI`YV,F,NA
H?KbIa\,F,NA
H?DR@U\,F,NA
H?Sq@MZ,F,NA
H@CaQM{,F,NA
H?Sb?yV,F,NA
H?CrAUN,F,NA
HGK?iMN,F,NA
HIC@G]N,F,NA
H@?ZAUN,F,NA
H@CaQMN,F,NA
H?CibEN,F,NA
H@@J@q^,F,NA
H@GIaYv,F,NA
H@GQQM|,F,NA
H?Ha_u|,F,NA
H@Da?un,F,NA
HGCqRA^,F,NA
H?H_qe^,F,NA
H?T@He^,F,NA
HG?gqe^,F,NA
HGH?om^,F,NA
H?DPRE^,F,NA
H?HHae^,F,NA
HIGOO^v,F,NA
H?X@_m~,F,NA
H@@_qU~,F,NA
H@CaQM~,F,NA
HHO?g^~,F,NA
H?DPRaM,F,NA
H?OxQaR,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HGCPQM[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?LI`aF,F,NA
H?CqZAX,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HGCHiaL,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?DPRQV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?HQPe\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HGCQPM\,F,NA
H?KRJA\,F,NA
H?Sq@eN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?DR@YZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?LQ@MZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H@GRIQ\,F,NA
HGCQPYV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?Sb?m\,F,NA
HGCq?]Z,F,NA
H@T@?]V,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H@CibAN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
