graph6 string,levelable,minimized solution
D??,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
D?C,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
D?K,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
D?[,T,"[2.0, 2.0, 2.0, 2.0, 4.0]"
D?{,T,"[2.0, 2.0, 2.0, 2.0, 5.0]"
D@O,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
D@S,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
D_K,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
D@K,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
D@s,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
D@[,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
D@{,T,"[2.0, 2.0, 2.0, 2.0, 4.0]"
DBW,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
DIk,T,"[2.0, 3.0, 2.0, 2.0, 2.0]"
DB[,T,"[2.0, 2.0, 2.0, 3.0, 3.0]"
DBk,T,"[2.0, 2.0, 2.0, 3.0, 3.0]"
DB{,T,"[2.0, 2.0, 2.0, 3.0, 4.0]"
DFw,T,"[2.0, 2.0, 2.0, 3.0, 2.0]"
DF{,T,"[2.0, 2.0, 2.0, 4.0, 4.0]"
DBg,F,NA
D`K,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
DK[,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
DK{,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
DLo,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
Dbk,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
DL{,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
DJk,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
DJ[,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
DJ{,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
DN{,T,"[2.0, 2.0, 2.0, 3.0, 3.0]"
DNw,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
D]{,T,"[2.0, 2.0, 2.0, 2.0, 3.0]"
D^{,T,"[2.0, 2.0, 3.0, 3.0, 3.0]"
D~{,T,"[2.0, 2.0, 2.0, 2.0, 2.0]"
