graph6 string,levelable,minimized solution
H?bB@_W,F,NA
H?bB@b_,F,NA
H?bB@bO,F,NA
H?bB@ao,F,NA
H?bB@`o,F,NA
H?bB@bG,F,NA
H?bB@ag,F,NA
H?bB@`g,F,NA
H?bB@aW,F,NA
H?bB@`W,F,NA
H?bB@_w,F,NA
H?bB@bC,F,NA
H?bB@ac,F,NA
H?bB@`c,F,NA
H?bB@aS,F,NA
H?bB@`S,F,NA
H?bB@_s,F,NA
H?bB@bA,F,NA
H?bB@aa,F,NA
H?bB@`a,F,NA
H?bB@aQ,F,NA
H?bB@`Q,F,NA
H?bB@aI,F,NA
H?bB@aE,F,NA
H?bB@b@,F,NA
H?bB@a`,F,NA
H?bB@aP,F,NA
H?bB@bo,F,NA
H?bB@bg,F,NA
H?bB@bW,F,NA
H?bB@aw,F,NA
H?bB@`w,F,NA
H?bB@bc,F,NA
H?bB@bS,F,NA
H?bB@as,F,NA
H?bB@`s,F,NA
H?bB@bK,F,NA
H?bB@ak,F,NA
H?bB@`k,F,NA
H?bB@a[,F,NA
H?bB@`[,F,NA
H?bB@_{,F,NA
H?bB@ba,F,NA
H?bB@bQ,F,NA
H?bB@aq,F,NA
H?bB@`q,F,NA
H?bB@bI,F,NA
H?bB@ai,F,NA
H?bB@`i,F,NA
H?bB@aY,F,NA
H?bB@`Y,F,NA
H?bB@bE,F,NA
H?bB@ae,F,NA
H?bB@`e,F,NA
H?bB@aU,F,NA
H?bB@aM,F,NA
H?bB@b`,F,NA
H?bB@bP,F,NA
H?bB@ap,F,NA
H?bB@bH,F,NA
H?bB@ah,F,NA
H?bB@aX,F,NA
H?bB@bD,F,NA
H?bB@ad,F,NA
H?bB@bB,F,NA
H?bB@bw,F,NA
H?bB@bs,F,NA
H?bB@bk,F,NA
H?bB@b[,F,NA
H?bB@a{,F,NA
H?bB@`{,F,NA
H?bB@bq,F,NA
H?bB@bi,F,NA
H?bB@bY,F,NA
H?bB@ay,F,NA
H?bB@`y,F,NA
H?bB@be,F,NA
H?bB@bU,F,NA
H?bB@au,F,NA
H?bB@`u,F,NA
H?bB@bM,F,NA
H?bB@am,F,NA
H?bB@a],F,NA
H?bB@bp,F,NA
H?bB@bh,F,NA
H?bB@bX,F,NA
H?bB@ax,F,NA
H?bB@bd,F,NA
H?bB@bT,F,NA
H?bB@at,F,NA
H?bB@bL,F,NA
H?bB@bb,F,NA
H?bB@bR,F,NA
H?bB@b{,F,NA
H?bB@by,F,NA
H?bB@bu,F,NA
H?bB@bm,F,NA
H?bB@b],F,NA
H?bB@a},F,NA
H?bB@`},F,NA
H?bB@bx,F,NA
H?bB@bt,F,NA
H?bB@bl,F,NA
H?bB@b\,F,NA
H?bB@a|,F,NA
H?bB@br,F,NA
H?bB@bj,F,NA
H?bB@bZ,F,NA
H?bB@bf,F,NA
H?bB@b},F,NA
H?bB@b|,F,NA
H?bB@bz,F,NA
H?bB@bv,F,NA
H?bB@b~,F,NA
H?bB@R_,T,"[3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0]"
H?bB@RO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@Qo,F,NA
H?bB@RG,F,NA
H?bB@RC,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@Qc,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@Ro,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@Rg,T,"[3.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@RW,F,NA
H?bB@Rc,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@RS,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@Qs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@RK,F,NA
H?bB@RI,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@Rw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@Rs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@Rk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@R[,F,NA
H?bB@Ri,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bB@RY,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@Re,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@R{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@Ry,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@Ru,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H?bB@Rm,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
H?bB@R},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H?bB@Rn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
H?bB@R~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
H?bBD`g,F,NA
H?bBD`Q,F,NA
H?bBDbo,F,NA
H?bBDbW,F,NA
H?bBDaw,F,NA
H?bBD`w,F,NA
H?bBDbc,F,NA
H?bBDbS,F,NA
H?bBDas,F,NA
H?bBD`s,F,NA
H?bBDbK,F,NA
H?bBDak,F,NA
H?bBD`k,F,NA
H?bBDa[,F,NA
H?bBD`[,F,NA
H?bBD_{,F,NA
H?bBDbQ,F,NA
H?bBDaq,F,NA
H?bBD`q,F,NA
H?bBD`i,F,NA
H?bBDaY,F,NA
H?bBD`Y,F,NA
H?bBDbE,F,NA
H?bBDae,F,NA
H?bBD`e,F,NA
H?bBDaU,F,NA
H?bBDaM,F,NA
H?bBDb`,F,NA
H?bBDbD,F,NA
H?bBDad,F,NA
H?bBDbw,F,NA
H?bBDbs,F,NA
H?bBDbk,F,NA
H?bBDb[,F,NA
H?bBDa{,F,NA
H?bBD`{,F,NA
H?bBDbq,F,NA
H?bBDbi,F,NA
H?bBDbY,F,NA
H?bBDay,F,NA
H?bBD`y,F,NA
H?bBDbe,F,NA
H?bBDbU,F,NA
H?bBDau,F,NA
H?bBD`u,F,NA
H?bBDbM,F,NA
H?bBDam,F,NA
H?bBDa],F,NA
H?bBDbp,F,NA
H?bBDbh,F,NA
H?bBDbX,F,NA
H?bBDax,F,NA
H?bBDbd,F,NA
H?bBDbT,F,NA
H?bBDat,F,NA
H?bBDbL,F,NA
H?bBDbb,F,NA
H?bBDbR,F,NA
H?bBDb{,F,NA
H?bBDby,F,NA
H?bBDbu,F,NA
H?bBDbm,F,NA
H?bBDb],F,NA
H?bBDa},F,NA
H?bBD`},F,NA
H?bBDbx,F,NA
H?bBDbt,F,NA
H?bBDbl,F,NA
H?bBDb\,F,NA
H?bBDa|,F,NA
H?bBDbr,F,NA
H?bBDbj,F,NA
H?bBDbZ,F,NA
H?bBDbf,F,NA
H?bBDb},F,NA
H?bBDb|,F,NA
H?bBDbz,F,NA
H?bBDbv,F,NA
H?bBDb~,F,NA
H?bBDPc,F,NA
H?bBDPK,F,NA
H?bBDOk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
H?bBDPI,F,NA
H?bBDPw,F,NA
H?bBDPs,F,NA
H?bBDRK,F,NA
H?bBDQk,F,NA
H?bBDPk,F,NA
H?bBDP[,F,NA
H?bBDO{,F,NA
H?bBDPq,F,NA
H?bBDPi,F,NA
H?bBDPY,F,NA
H?bBDPe,F,NA
H?bBDQM,F,NA
H?bBDR`,F,NA
H?bBDQp,F,NA
H?bBDRD,F,NA
H?bBDQd,F,NA
H?bBDRw,F,NA
H?bBDRs,F,NA
H?bBDRk,F,NA
H?bBDR[,F,NA
H?bBDQ{,F,NA
H?bBDP{,F,NA
H?bBDRq,F,NA
H?bBDRi,F,NA
H?bBDRY,F,NA
H?bBDQy,F,NA
H?bBDPy,F,NA
H?bBDRe,F,NA
H?bBDRU,F,NA
H?bBDQu,F,NA
H?bBDPu,F,NA
H?bBDRM,F,NA
H?bBDQm,F,NA
H?bBDPm,F,NA
H?bBDQ],F,NA
H?bBDRp,F,NA
H?bBDRh,F,NA
H?bBDRX,F,NA
H?bBDQx,F,NA
H?bBDRd,F,NA
H?bBDRT,F,NA
H?bBDQt,F,NA
H?bBDRL,F,NA
H?bBDQl,F,NA
H?bBDRb,F,NA
H?bBDRR,F,NA
H?bBDRJ,F,NA
H?bBDR{,F,NA
H?bBDRy,F,NA
H?bBDRu,F,NA
